SMILES,O2_permeability
*CCOC(=O)c1ccc(C(=O)O*)cc1,180.0
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.021777534
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.019036306
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.005025585
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.015
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.855263158
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.00026467
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.123684211
*CCOC(=O)c1ccc(C(=O)O*)cc1,1.052631579
*CCOC(=O)c1ccc(C(=O)O*)cc1,2.2
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.013
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.05419344
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.029
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.021945
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.023684211
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.035
*CCOC(=O)c1cccc(C(=O)O*)c1,0.015019325
*CC1CCC(COC(=O)c2ccc(C(=O)O*)cc2)CC1,0.243096288
*CCOC(=O)c1ccc2cc(C(=O)O*)ccc2c1,0.018619318
*CCOC(=O)c1ccc2cc(C(=O)O*)ccc2c1,0.009
*CCCCCC(=O)O*,25.3
*CCCCCC(=O)N*,1.8e-05
*CCCCCC(=O)N*,8e-06
*CCCCCC(=O)N*,0.08
*CCCCCC(=O)N*,3.8
*CCCCCC(=O)N*,0.0095
*CCCCCC(=O)N*,0.03857
*CCCCCC(=O)N*,0.006052632
*CCCCCCCC(=O)N*,0.01729
*CCCCCCCCCCCC(=O)N*,0.02527
*NC(CCC(=O)OC)C(*)=O,0.81
*NC(CCC(=O)OCc1ccccc1)C(*)=O,0.28
*NC(CCC(=O)O)C(*)=O,0.0006
*NC(CC(C)C)C(*)=O,8.61
*NC(CCCCNC(=O)OCc1ccccc1)C(*)=O,0.02
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,0.138
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,0.141
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,0.107
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,0.152
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,0.4
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,0.133
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,0.092537313
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,2.55
*c1ccc(Oc2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,0.25004
*C(=O)c1ccc2c(c1)C(=O)N(c1c(C)c(C)c(N3C(=O)c4ccc(*)cc4C3=O)c(C)c1C)C2=O,11.8
*c1cccc(N2C(=O)c3ccc(Oc4ccc(C(C)(C)c5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5)cc4)cc3C2=O)c1,0.33
*c1cccc(N2C(=O)c3ccc(Oc4ccc(C(C)(C)c5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5)cc4)cc3C2=O)c1,0.41
*c1ccc(Oc2ccc(N3C(=O)c4ccc(Oc5ccc(C(C)(C)c6ccc(Oc7ccc8c(c7)C(=O)N(*)C8=O)cc6)cc5)cc4C3=O)cc2)cc1,0.18
*c1ccc2c(c1)C(=O)N(c1ccc(Cc3ccc(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)cc1)C2=O,2.8
*c1ccc2c(c1)C(=O)N(c1ccc(C(C)(C)c3ccc(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)cc1)C2=O,7.53
*c1ccc2c(c1)C(=O)N(c1c(C)cc(C)c(N3C(=O)c4ccc(C(*)(C(F)(F)F)C(F)(F)F)cc4C3=O)c1C)C2=O,62.5
*c1ccc2c(c1)C(=O)N(c1c(C)c(C)c(N3C(=O)c4ccc(C(*)(C(F)(F)F)C(F)(F)F)cc4C3=O)c(C)c1C)C2=O,87.0
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,1.4
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,1.5
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,1.48
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,1.5
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,1.7
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,1.5
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,3.4
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,1.8
